timestamp,cpu_percent,memory_usage_mb,memory_percent,net_io,block_io
1753862952,0,61.02,0.39,363MB / 7.65MB,0B / 0B
1753862955,0,61.02,0.39,363MB / 7.65MB,0B / 0B
1753862958,0,61.02,0.39,363MB / 7.65MB,0B / 0B
1753862961,0,61.02,0.39,363MB / 7.65MB,0B / 0B
1753862964,0,61.02,0.39,363MB / 7.65MB,0B / 0B
1753862966,0,61.02,0.39,363MB / 7.65MB,0B / 0B
1753862969,0,61.02,0.39,363MB / 7.65MB,0B / 0B
1753862972,0,61.02,0.39,363MB / 7.65MB,0B / 0B
1753862975,0,61.02,0.39,363MB / 7.65MB,0B / 0B
1753862978,0,61.02,0.39,363MB / 7.65MB,0B / 0B
1753862981,0,61.02,0.39,363MB / 7.65MB,0B / 0B
1753862984,0,61.02,0.39,363MB / 7.65MB,0B / 0B
1753862986,0,61.02,0.39,363MB / 7.65MB,0B / 0B
1753862989,0,61.02,0.39,363MB / 7.65MB,0B / 0B
1753862992,0,61.02,0.39,363MB / 7.65MB,0B / 0B
1753862995,0,61.02,0.39,363MB / 7.65MB,0B / 0B
1753862998,0,61.02,0.39,363MB / 7.65MB,0B / 0B
1753863001,0,61.02,0.39,363MB / 7.65MB,0B / 0B
1753863004,0,61.02,0.39,363MB / 7.65MB,0B / 0B
1753863006,0,61.02,0.39,363MB / 7.65MB,0B / 0B
1753863009,0,61.02,0.39,363MB / 7.65MB,0B / 0B
1753863012,0,61.02,0.39,363MB / 7.65MB,0B / 0B
1753863015,0,61.02,0.39,363MB / 7.65MB,0B / 0B
1753863018,0,61.02,0.39,363MB / 7.65MB,0B / 0B
1753863021,0,61.02,0.39,363MB / 7.65MB,0B / 0B
1753863024,0,61.02,0.39,363MB / 7.65MB,0B / 0B
1753863026,0,61.02,0.39,363MB / 7.65MB,0B / 0B
1753863029,0,61.02,0.39,363MB / 7.65MB,0B / 0B
1753863032,0,61.02,0.39,363MB / 7.65MB,0B / 0B
1753863035,0,61.02,0.39,363MB / 7.65MB,0B / 0B
1753863038,0,61.02,0.39,363MB / 7.65MB,0B / 0B
1753863041,0,61.03,0.39,363MB / 7.65MB,0B / 0B
1753863044,0,61.02,0.39,363MB / 7.65MB,0B / 0B
1753863046,0,61.02,0.39,363MB / 7.65MB,0B / 0B
1753863049,0,61.02,0.39,363MB / 7.65MB,0B / 0B
1753863052,0,61.02,0.39,363MB / 7.65MB,0B / 0B
1753863055,0,61.02,0.39,363MB / 7.65MB,0B / 0B
1753863058,0,61.02,0.39,363MB / 7.65MB,0B / 0B
1753863061,0,61.02,0.39,363MB / 7.65MB,0B / 0B
1753863064,0,61.02,0.39,363MB / 7.65MB,0B / 0B
1753863066,0,61.02,0.39,363MB / 7.65MB,0B / 0B
1753863069,0,61.04,0.39,363MB / 7.65MB,0B / 0B
1753863072,0,61.04,0.39,363MB / 7.65MB,0B / 0B
1753863075,0,61.02,0.39,363MB / 7.65MB,0B / 0B
1753863078,0,61.02,0.39,363MB / 7.65MB,0B / 0B
1753863081,0,61.02,0.39,363MB / 7.65MB,0B / 0B
1753863084,0,61.02,0.39,363MB / 7.65MB,0B / 0B
1753863086,0,61.02,0.39,363MB / 7.65MB,0B / 0B
1753863089,0,61.02,0.39,363MB / 7.65MB,0B / 0B
1753863092,0,61.02,0.39,363MB / 7.65MB,0B / 0B
1753863095,0,61.02,0.39,363MB / 7.65MB,0B / 0B
1753863098,0,61.02,0.39,363MB / 7.65MB,0B / 0B
1753863101,0,61.04,0.39,363MB / 7.65MB,0B / 0B
1753863104,0,61.04,0.39,363MB / 7.65MB,0B / 0B
1753863106,0,61.02,0.39,363MB / 7.65MB,0B / 0B
1753863109,0,61.02,0.39,363MB / 7.65MB,0B / 0B
1753863112,0,61.02,0.39,363MB / 7.65MB,0B / 0B
1753863115,0,61.02,0.39,363MB / 7.65MB,0B / 0B
1753863118,0,61.02,0.39,363MB / 7.65MB,0B / 0B
1753863121,0,61.02,0.39,363MB / 7.65MB,0B / 0B
1753863124,0,61.02,0.39,363MB / 7.65MB,0B / 0B
1753863126,0,61.02,0.39,363MB / 7.65MB,0B / 0B
1753863129,0,61.02,0.39,363MB / 7.65MB,0B / 0B
1753863132,0,61.02,0.39,363MB / 7.65MB,0B / 0B
1753863135,0,61.02,0.39,363MB / 7.65MB,0B / 0B
